stemmed_output,category
question ask control measur aphid infest mustard crop n answer suggest spray rogormllitat even time,pest_control
question ask control measur flower drop problem coconut plant n answer suggest appli fertil recommend dose like ureagmsspkgmopgmboraxgm twice yearmarchapril septemberoctoberfollow trench method also suggest spray planofixteaspoon per liter water,pest_control
question ask avail kisan credit card loan sali crop n answer suggest consult officermarket recoveri ruralsbi local branch detail,crop_management
question ask sourc earli ahu rice varieti n answer suggest take earli ahu rice varieti aticjorhataau campu parcel direct take,crop_management
question ask got proper friut coconut plant n answer suggest aplli recommend fertil doseurea kgsspkgmop kgborax gmplantyear trench method,fertilizer
question ask induc breed fish n answer given detail induc breed fish,aquaculture
question ask train prepar biomanur n answer suggest approach district agricultur offic aticjorhatph,agriculture_support
question ask treatment low product milk cow n answer suggest provid miner mixtur like ranmix total milkmin gwala etc recommand dose along feedalso suggest feed high protien green fodder like cowpea berseem lucern etc,fertilizer
question ask prematur fruit drop coconut n answer suggest appli bordeaux mixtur appli borax gmplant per year along urea ssp,fertilizer
question ask preserv tomato squash n answer suggest preserv benjoic acid sulphar dioxid chemic use preserv severel week,other
question ask pre emerg weedicid rice n answer suggest herbicid butachlor machet preemerg weedicid,other
question ask control measur damp infest biter gourd crop n answer suggest appli dithan mllitr water also check irrig water suppli field,pest_control
question ask cultur chitala along carp n answer suggest go singl speci cultur one pond cultur speci along chitala second case size speci larger chitala,other
question ask suitabl varieti transplant earli ahu crop n answer suggest suitabl earli ahu varieti saket ir govind ir cauveri krishna jaya ir luit kopile,crop_management
question ask fym compost requir blackgram cropsbigha n answer suggest fym compost requir blackgram crop quintqlbigha add fertil also improv soil structur,fertilizer
question ask avail quail bird commerci purpos n answer suggest contact central agricultur univers mizoram avail quail bird,other
question ask control measur taken bacteri wilt brinjal crop n answer suggest appli ppm agromycin streptomycin twice week also avoid water stagnat field,pest_control
question ask ngo watersh project n answer suggest contact deshbandhu club situat cachar district,other
question ask take control measur flower fruit drop aonla fruit tree n answer suggest either spray planofix mllitr water appli borax gplant base tree make ring,pest_control
question ask chemic seed treatment maiz done seed born diseas attack n answer suggest seed maiz treat bavistin g kg seed captaf g kg seed sow,fertilizer
question ask precautionari measur prevent diseas fish n answer suggest appli lime kg hacyr one third requir dose appli time pond prepar remain portion appli equal monthli instal also suggest maintain water qualiti properli,fertilizer
